gene,disease_name,inheritance,phenotype_mim,phenotype_class,pigmentation_phenotype,source,citation,citation_source
ABCB6,Dyschromatosis universalis hereditaria 3,AD,615402,Mixed,"Irregularly shaped asymptomatic hyper- and hypopigmented macules that appear in infancy or early childhood and occur in a generalized distribution over the trunk, limbs, and sometimes the face. Involvement of the palms or soles is unusual. Abnormalities of hair and nails have been reported.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ABCC9,Hypertrichotic osteochondrodysplasia / Cantu syndrome,AD,239850,Hyperpigmentation,"Congenital diffuse hypertrichosis (head and body hair), punctate palmoplantar keratosis and lentiginosis (lentigines in the face, forearms, back of hands and feet)","Yamaguchi gene list, OMIM",PMC9854651,pmcid
ACD,"Dyskeratosis congenita, autosomal dominant 6, autosomal recessive 7","AD, AR",616553,Hyperpigmentation,"Reticulate hyperpigmentation; affected areas may appear as grayish macules on atrophic or light colored patch of skin. The face, neck and shoulders are most often affected.",OMIM,PMC9854651,pmcid
ADAM10,Reticulate acropigmentation of Kitamura,AD,615537,Hyperpigmentation,"Reticulate, slightly depressed, sharply demarcated brown macules without hypopigmentation, affecting the dorsa of the hands and feet in the first or second decade of life. The macules gradually darken and extend to the proximal regions of the extremities; progression of the eruptions stops in middle age. The increased pigmentation is found on the flexor aspects of the wrists, neck, patella, and olecranon.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ADAR,Aicardi-Goutieres syndrome 6,AR,615010,Hyperpigmentation,Cutaneous pigmentation with freckling of the face and hands,OMIM,PMC9854651,pmcid
ADAR,Dyschromatosis symmetrica hereditaria,AD,127400,Mixed,"Asymptomatic, pinpoint, pea-sized hyperpigmented and hypopigmented macules on the backs of the hands and the tops of the feet. The face is spared apart from a few scattered small discrete pigmented macules.","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ADO,Vogt-Koyanagi-Harada disease,Acquired,,Hypopigmentation,Cutaneous and perilimbal vitiligo (also known as Sugiura's sign); whitening (loss of pigmentation) of the hair and eyelashes (poliosis),OpenTargets gene list,PMC9854651,pmcid
ADPRH,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
ALG11,Wilson disease,Congenital,277900,Hyperpigmentation,Unusually dark skin patches (hypermelanotic pigmentation),"OpenTargets gene list, OMIM",PMC9854651,pmcid
AP3B1,Hermansky-Pudlak syndrome type 2,AR,608233,Hypopigmentation,Oculocutaneous albinism,"Yamaguchi gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
AP3D1,Hermansky-Pudlak syndrome type 10,AR,617050,Hypopigmentation,Oculocutaneous albinism,"OpenTargets gene list, OMIM",PMC9854651,pmcid
APC2,"Intellectual developmental disorder, autosomal recessive 74 (Sotos syndrome 3)",AR,617169,Hyperpigmentation,Pigmentary spotting of the genitalia,"OpenTargets gene list, OMIM",PMC9854651,pmcid
ARID5B,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
ATM,Ataxia-telangiectasia,AR,208900,Mixed,"Pigmentary anomalies included café-au-lait macules, hypopigmented macules, and melanocytic nevi","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ATP7A,Menkes disease,XLR,309400,Hypopigmentation,Depigmentation of hair and skin pallor,"Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ATP7B,Wilson disease,AR,277900,Hyperpigmentation,Unusually dark skin patches (hypermelanotic pigmentation),"Yamaguchi gene list, OpenTargets gene list, OMIM",PMC9854651,pmcid
ATXN2,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
BACH2,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
BCL2L11,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
BCL2L12,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
BIVM,"Xeroderma pigmentosum, group G",AR,278780,Mixed,Pigmented or depigmented macules and patches,"OpenTargets gene list, OMIM",PMC9854651,pmcid
BIVM,"Xeroderma pigmentosum, variant type",AR,278750,Mixed,Pigmented or depigmented macules and patches,"OpenTargets gene list, OMIM",PMC9854651,pmcid
BLM,Bloom syndrome,AR,210900,Mixed," Sun-sensitive, telangiectatic, hypo- and hyperpigmented skin","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
BLOC1S3,Hermansky-Pudlak syndrome type 8,AR,614077,Hypopigmentation,Oculocutaneous albinism,"OpenTargets gene list, OMIM",PMC9854651,pmcid
BLOC1S3,neurofibromatosis type 1,AR,614077,Hypopigmentation,Oculocutaneous albinism,OMIM,PMC9854651,pmcid
BLOC1S5,Hermansky-Pudlak syndrome type 11,AR,619172,Hypopigmentation,Oculocutaneous albinism,OMIM,PMC9854651,pmcid
BLOC1S6,Hermansky-Pudlak syndrome type 9,AR,614171,Hypopigmentation,Oculocutaneous albinism,"Yamaguchi gene list, OMIM",PMC9854651,pmcid
BNC2,Dermal melanocytosis,Congenital,,Hyperpigmentation,Flat blue or blue/grey spots with an irregular shape due to the presence of ectopic melanocytes in the dermis,OpenTargets gene list,PMC9854651,pmcid
BRAF,LEOPARD syndrome 3,AD,613707,Hyperpigmentation,"Multiple lentigines; black or dark brown spots on the skin, including the neck and head. ","OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
BRCA2,"Fanconi anemia, complementation group D1",AR,605724,Mixed,"Generalized hyperpigmentation on the trunk, neck, and intertriginous areas, presence of café-au-lait spots, and hypopigmented areas","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
BRIP1,"Fanconi anemia, complementation group J",AR,609054,Mixed,"Generalized hyperpigmentation on the trunk, neck, and intertriginous areas, presence of café-au-lait spots, and hypopigmented areas","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
BTNL2,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
BTNL2,Vogt-Koyanagi-Harada disease,Acquired,,Hypopigmentation,Cutaneous and perilimbal vitiligo (also known as Sugiura's sign); whitening (loss of pigmentation) of the hair and eyelashes (poliosis),OpenTargets gene list,PMC9854651,pmcid
C11ORF65,Ataxia-telangiectasia,Congenital,208900,Mixed,"Pigmentary anomalies included café-au-lait macules, hypopigmented macules, and melanocytic nevi","OpenTargets gene list, OMIM",PMC9854651,pmcid
C1ORF141,Vogt-Koyanagi-Harada disease,Acquired,,Hypopigmentation,Cutaneous and perilimbal vitiligo (also known as Sugiura's sign); whitening (loss of pigmentation) of the hair and eyelashes (poliosis),OpenTargets gene list,PMC9854651,pmcid
C1QTNF6,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.","Yamaguchi gene list, OpenTargets gene list",PMC9854651,pmcid
CASP7,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
CBFA2T3,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
CBS,Homocystinuria,AR,236200,Hypopigmentation,Hypopigmentation of skin and hair,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
CCR6,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",Yamaguchi gene list,PMC9854651,pmcid
CD80,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
CDH23,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
CDH3,"Hypotrichosis with juvenile macular dystrophy (HJMD), ectodermal dysplasia, ectrodactyly, and macular dystrophy",AR,601553,Mixed,"Retinal changes with prominent pigmentation in macular dystrophy, patients show unusually fair hair when compared to siblings","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
CDKN2A,Melanoma and neural system tumor syndrome,AD,155755,Hyperpigmentation,"Atypical and dysplastic nevi, susceptibility to cutaneous malignant melanoma","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
CDKN2A,"Melanoma, cutaneous malignant, 2",AD,155601,Hyperpigmentation,Increased risk of developing malignant melanoma ,OMIM,PMC9854651,pmcid
CDKN2A,Melanoma-pancreatic cancer syndrome,AD,606719,Hyperpigmentation,Increased risk of developing malignant melanoma ,OMIM,PMC9854651,pmcid
CEP57,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
CHRNA9,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
CLNK,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
CPVL,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
CTC1,Dyskeratosis congenita,AR,,Hyperpigmentation,"Reticulate hyperpigmentation; affected areas may appear as grayish macules on atrophic or light colored patch of skin. The face, neck and shoulders are most often affected.",Baxter Table S1 gene list,PMC9854651,pmcid
CTLA4,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
CTNS,Cystinosis,AR,219800,Hypopigmentation,Hypopigmentation of skin and hair; abnormal retinal pigmentation,"Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
CYP11A1,"Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete",AR,613743,Hyperpigmentation,"Generalized tanning of skin with markedly increased pigmentation of lips and gums, nape of neck, and abdomen","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
DDB2,"Xeroderma pigmentosum, group E",AR,278740,Mixed,Pigmented or depigmented macules and patches,"Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
DDX3X,"Intellectual developmental disorder, X-linked, syndrome, Snijders Blok type","XLD, XLR",300958,Hypopigmentation,"Skin pigmentary abnormalities, hypopigmented spots on the chest and abdomen","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
DDX6,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
DEF8,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
DKC1,"Dyskeratosis congenita, X-linked",XLR,305000,Hyperpigmentation,"Reticulate hyperpigmentation; affected areas may appear as grayish macules on atrophic or light colored patch of skin. The face, neck and shoulders are most often affected.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
DNAJC12,Phenylketonuria,AR,261600,Hypopigmentation,Diluted pigmentation of skin and hair,"OpenTargets gene list, OMIM",PMC9854651,pmcid
DSTYK,Spastic paraplegia 23,AR,270750,Mixed,"Premature graying of the hair and vitiligo-like or hyperpigmented skin lesions, lentigines","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
DTNBP1,Hermansky-Pudlak syndrome type 7,AR,614076,Hypopigmentation,Oculocutaneous albinism,"Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
EDN3,Waardenburg syndrome 4B,"AD, AR",613265,Hypopigmentation,"Pigmentary abnormalities of the hair, skin, and eyes. White forelock and premature graying; pigmentary changes of the iris, such as heterochromia or hypoisochromia iridis, and brilliant blue eyes, hypopigmented ocular fundus. Hypopigmented skin lesions.","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
EDNRB,ABCD syndrome,AR,600501,Hypopigmentation,Albinism and retinal depigmentation,OMIM,PMC9854651,pmcid
EDNRB,Waardenburg syndrome type 4A,"AD, AR",277580,Hypopigmentation,"Pigmentary abnormalities of the hair, skin, and eyes. White forelock and premature graying; pigmentary changes of the iris, such as heterochromia or hypoisochromia iridis, and brilliant blue eyes, hypopigmented ocular fundus. Hypopigmented skin lesions.","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
EGR2,Vogt-Koyanagi-Harada disease,Acquired,,Hypopigmentation,Cutaneous and perilimbal vitiligo (also known as Sugiura's sign); whitening (loss of pigmentation) of the hair and eyelashes (poliosis),OpenTargets gene list,PMC9854651,pmcid
EIF2S2,Dermal melanocytosis,Congenital,,Hyperpigmentation,Flat blue or blue/grey spots with an irregular shape due to the presence of ectopic melanocytes in the dermis,OpenTargets gene list,PMC9854651,pmcid
EIF6,Dermal melanocytosis,Congenital,,Hyperpigmentation,Flat blue or blue/grey spots with an irregular shape due to the presence of ectopic melanocytes in the dermis,OpenTargets gene list,PMC9854651,pmcid
ENPP1,Cole disease,AD,615522,Hypopigmentation,"Irregularly shaped hypopigmented macules, which are typically found over the arms and legs but not the trunk or acral regions. Reduction in melanin content in keratinocytes but not in melanocytes.","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
EPG5,Vici syndrome,AR,242840,Hypopigmentation,"Cutaneous hypopigmentation, hypopigmentation of the hair, retinal hypopigmentation, albinism","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ERCC1,"Xeroderma pigmentosum, variant type",Congenital,278750,Mixed,Pigmented or depigmented macules and patches,"OpenTargets gene list, OMIM",PMC9854651,pmcid
ERCC2,"Xeroderma pigmentosum, group D",AR,278730,Mixed,"Sun sensitivity, pigmentation changes, and skin cancers","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ERCC3,"Xeroderma pigmentosum, group B",AR,610651,Mixed,"extreme sensitivity to sunlight, pigmentation abnormalities, and multiple skin cancers.pigmentary retinal degeneration","Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ERCC4,"Xeroderma pigmentosum, group F",AR,278760,Hyperpigmentation,Deeply pigmented skin with rashes and flat freckles,"Yamaguchi gene list, OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ERCC5,"Xeroderma pigmentosum, group G",AR,278780,Mixed,Pigmented or depigmented macules and patches,"Yamaguchi gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ERCC6,UV-sensitive syndrome-1,AR,600630,Mixed,Pigmented freckles on sun exposed areas and hypopigmented spots ,"OpenTargets gene list, Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
ESCO2,Roberts-SC phocomelia syndrome,AR,268300,Hypopigmentation,"Silvery hair, hypopigmented patches","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
FADS2,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
FANCA,Dermal melanocytosis,Congenital,,Hyperpigmentation,Flat blue or blue/grey spots with an irregular shape due to the presence of ectopic melanocytes in the dermis,OpenTargets gene list,PMC9854651,pmcid
FANCA,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
FANCA,"Fanconi anemia, complementation group A",AR,227650,Mixed,"Generalized hyperpigmentation on the trunk, neck, and intertriginous areas, presence of café-au-lait spots, and hypopigmented areas","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
FANCB,"Xeroderma pigmentosum, variant type",Congenital,278750,Mixed,Pigmented or depigmented macules and patches,"OpenTargets gene list, OMIM",PMC9854651,pmcid
FANCC,"Fanconi anemia, complementation group C",AR,227645,Mixed,"Generalized hyperpigmentation on the trunk, neck, and intertriginous areas, presence of café-au-lait spots, and hypopigmented areas","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
FANCD2,"Fanconi anemia, complementation group D2",AR,227646,Mixed,"Generalized hyperpigmentation on the trunk, neck, and intertriginous areas, presence of café-au-lait spots, and hypopigmented areas","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
FANCE,"Fanconi anemia, complementation group E",AR,600901,Mixed,"Generalized hyperpigmentation on the trunk, neck, and intertriginous areas, presence of café-au-lait spots, and hypopigmented areas","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
FANCI,"Fanconi anemia, complementation group I",AR,609053,Mixed,"Generalized hyperpigmentation on the trunk, neck, and intertriginous areas, presence of café-au-lait spots, and hypopigmented areas","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
FAP,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
FARP2,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
FASLG,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
FGFR3,Crouzon syndrome with acanthosis nigricans,AD,612247,Mixed,"Acanthosis nigricans, hyperpigmentation, hypopigmentation of surgical scars, melanocytic nevi","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
FIG4,Charcot-Marie-Tooth disease type 4J,AR,611228,Hypopigmentation,Diluted pigmentation of skin,"Yamaguchi gene list, OpenTargets gene list, OMIM",PMC9854651,pmcid
FLI1,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.",OpenTargets gene list,PMC9854651,pmcid
FLNA,Terminal osseous dysplasia,XLD,300244,Hyperpigmentation,punched-out' pigmentary abnormalities over the face and scalp,"Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
FMR1,Fragile X syndrome,XLD,300624,Hyperpigmentation,"Regional skin hyperpigmentation, periorbital, axillary or genital","Baxter Table S1 gene list, OMIM",PMC9854651,pmcid
FOXP1,Vitiligo,Acquired,,Hypopigmentation,"Hypopigmented patches in different areas of the body, including the skin, hair and mucous membranes.","Yamaguchi gene list, OpenTargets gene list",PMC9854651,pmcid
FRAS1,Fraser syndrome 1,AR,219000,Hypopigmentation,Patches of discolored or white fur,"OpenTargets gene list, OMIM",PMC9854651,pmcid
FREM2,Fraser syndrome 2,AR,617666,Hypopigmentation,Patches of discolored or white fur,"Yamaguchi gene list, OpenTargets gene list, OMIM",PMC9854651,pmcid
